Side,Type,Year,Month,DESTINATION City,Total of Flights,Total of Passengers
OUT,Domestic,2021,May,Dammam,423,31789
OUT,Domestic,2021,May,Al-Bahah,65,6813
OUT,Domestic,2021,May,"	Qassim",46,3227
OUT,Domestic,2021,May,Jizan,389,29721
OUT,Domestic,2021,May,Qurayyat,62,4755
OUT,Domestic,2021,May,Hafr Al-batin,76,5946
OUT,Domestic,2021,May,Hail,154,11319
OUT,Domestic,2021,May,Jeddah,1334,152595
OUT,Domestic,2021,May,Madinah,334,28100
OUT,Domestic,2021,May,Najran,120,10041
OUT,Domestic,2021,May,Rafha,32,2389
OUT,Domestic,2021,May,Sharurah,43,3470
OUT,Domestic,2021,May,Tabuk,215,18021
OUT,Domestic,2021,May,Taif,178,17218
OUT,Domestic,2021,May,Turaif,26,1826
OUT,Domestic,2021,May,WADI AL-DAWASER,31,2335
OUT,Domestic,2021,May,Al Wajh,9,700
OUT,Domestic,2021,May,Yenbo,31,2761
IN,Domestic,2021,Jun,Riyadh,4280,454182
OUT,Domestic,2021,Jun,Abha,498,70348
OUT,Domestic,2021,Jun,Al-Jawf,115,11300
OUT,Domestic,2021,Jun,Al-Ula,21,1195
OUT,Domestic,2021,Jun,Arar,77,8081
OUT,Domestic,2021,Jun,Bisha,77,8405
OUT,Domestic,2021,Jun,Dammam,391,34910
OUT,Domestic,2021,Jun,Al-Bahah,96,10214
OUT,Domestic,2021,Jun,"	Qassim",60,4320
OUT,Domestic,2021,Jun,Jizan,391,32802
OUT,Domestic,2021,Jun,Qurayyat,60,6638
OUT,Domestic,2021,Jun,Hafr Al-batin,73,6439
OUT,Domestic,2021,Jun,Hail,149,13379
OUT,Domestic,2021,Jun,Jeddah,1305,150477
OUT,Domestic,2021,Jun,Madinah,297,28214
OUT,Domestic,2021,Jun,Najran,102,10253
OUT,Domestic,2021,Jun,Rafha,30,2743
OUT,Domestic,2021,Jun,Sharurah,43,3688
OUT,Domestic,2021,Jun,Tabuk,206,20914
OUT,Domestic,2021,Jun,Taif,209,20900
OUT,Domestic,2021,Jun,Turaif,27,2410
OUT,Domestic,2021,Jun,WADI AL-DAWASER,30,2569
OUT,Domestic,2021,Jun,Al Wajh,8,654
OUT,Domestic,2021,Jun,Yenbo,47,3632
IN,Domestic,2021,Jul,Riyadh,4422,442032
OUT,Domestic,2021,Jul,Abha,525,68036
OUT,Domestic,2021,Jul,Al-Jawf,122,11244
OUT,Domestic,2021,Jul,Al-Ula,18,1147
OUT,Domestic,2021,Jul,Arar,79,7833
OUT,Domestic,2021,Jul,Bisha,76,7756
OUT,Domestic,2021,Jul,Dammam,396,34158
