Side,Type,Year,Month,DESTINATION City,Total of Flights,Total of Passengers
OUT,Domestic,2022,Sep,WADI AL-DAWASER,26,3323
OUT,Domestic,2022,Sep,Al Wajh,9,890
OUT,Domestic,2022,Sep,Yenbo,26,3279
IN,Domestic,2022,Oct,Riyadh,4501,635640
OUT,Domestic,2022,Oct,Abha,541,67594
OUT,Domestic,2022,Oct,Al-Jawf,113,13820
OUT,Domestic,2022,Oct,Al-Ula,22,2784
OUT,Domestic,2022,Oct,Arar,90,10365
OUT,Domestic,2022,Oct,Bisha,71,8597
OUT,Domestic,2022,Oct,Dammam,412,53509
OUT,Domestic,2022,Oct,Al-Bahah,58,6142
OUT,Domestic,2022,Oct,Hafr Al-batin,62,7906
OUT,Domestic,2022,Oct,Hail,152,17036
OUT,Domestic,2022,Oct,Jeddah,1412,228678
OUT,Domestic,2022,Oct,Jizan,371,42914
OUT,Domestic,2022,Oct,Madinah,331,48416
OUT,Domestic,2022,Oct,Najran,151,19750
OUT,Domestic,2022,Oct,NEOM,13,1787
OUT,Domestic,2022,Oct,Qassim,62,6020
OUT,Domestic,2022,Oct,Qurayyat,58,7475
OUT,Domestic,2022,Oct,Rafha,27,3453
OUT,Domestic,2022,Oct,Sharurah,53,5035
OUT,Domestic,2022,Oct,Tabuk,219,30134
OUT,Domestic,2022,Oct,Taif,210,23186
OUT,Domestic,2022,Oct,Turaif,26,2560
OUT,Domestic,2022,Oct,WADI AL-DAWASER,27,3619
OUT,Domestic,2022,Oct,Al Wajh,9,992
OUT,Domestic,2022,Oct,Yenbo,27,3590
IN,Domestic,2022,Nov,Riyadh,4524,646514
OUT,Domestic,2022,Nov,Abha,512,70077
OUT,Domestic,2022,Nov,Al-Jawf,110,14157
OUT,Domestic,2022,Nov,Al-Ula,35,4091
OUT,Domestic,2022,Nov,Arar,86,10422
OUT,Domestic,2022,Nov,Bisha,77,9111
OUT,Domestic,2022,Nov,Dammam,402,52750
OUT,Domestic,2022,Nov,Al-Bahah,67,7114
OUT,Domestic,2022,Nov,Hafr Al-batin,60,7892
OUT,Domestic,2022,Nov,Hail,150,17897
OUT,Domestic,2022,Nov,Jeddah,1415,235599
OUT,Domestic,2022,Nov,Jizan,376,46965
OUT,Domestic,2022,Nov,Madinah,345,46504
OUT,Domestic,2022,Nov,Najran,150,20135
OUT,Domestic,2022,Nov,NEOM,14,1658
OUT,Domestic,2022,Nov,Qassim,60,5945
OUT,Domestic,2022,Nov,Qurayyat,63,7917
OUT,Domestic,2022,Nov,Rafha,26,3340
OUT,Domestic,2022,Nov,Sharurah,51,5051
OUT,Domestic,2022,Nov,Tabuk,236,31943
OUT,Domestic,2022,Nov,Taif,204,25252
OUT,Domestic,2022,Nov,Turaif,27,2648
OUT,Domestic,2022,Nov,WADI AL-DAWASER,30,3616
OUT,Domestic,2022,Nov,Al Wajh,8,852
OUT,Domestic,2022,Nov,Yenbo,30,3733
IN,Domestic,2022,Dec,Riyadh,4714,687942
OUT,Domestic,2022,Dec,Abha,548,78184
OUT,Domestic,2022,Dec,Al-Jawf,139,16419
OUT,Domestic,2022,Dec,Al-Ula,40,4764
OUT,Domestic,2022,Dec,Arar,89,10684
OUT,Domestic,2022,Dec,Bisha,80,10008
OUT,Domestic,2022,Dec,Dammam,418,53373
OUT,Domestic,2022,Dec,Al-Bahah,63,6990
OUT,Domestic,2022,Dec,Hafr Al-batin,63,8302
OUT,Domestic,2022,Dec,Hail,155,18463
OUT,Domestic,2022,Dec,Jeddah,1499,260357
OUT,Domestic,2022,Dec,Jizan,391,51554
OUT,Domestic,2022,Dec,Madinah,341,52450
OUT,Domestic,2022,Dec,Najran,155,21530
OUT,Domestic,2022,Dec,NEOM,14,1648
OUT,Domestic,2022,Dec,Qassim,58,5816
OUT,Domestic,2022,Dec,Qurayyat,62,7434
OUT,Domestic,2022,Dec,Rafha,26,3422
OUT,Domestic,2022,Dec,Sharurah,54,6347
OUT,Domestic,2022,Dec,Tabuk,249,34499
OUT,Domestic,2022,Dec,Taif,212,25494
OUT,Domestic,2022,Dec,Turaif,27,2957
OUT,Domestic,2022,Dec,WADI AL-DAWASER,31,3987
OUT,Domestic,2022,Dec,Al Wajh,9,843
OUT,Domestic,2022,Dec,Yenbo,31,3780
IN,Domestic,2023,Jan,Riyadh,4630,687178
OUT,Domestic,2023,Jan,Abha,523,75180
OUT,Domestic,2023,Jan,Al-Jawf,138,17324
OUT,Domestic,2023,Jan,Al-Ula,41,5317
OUT,Domestic,2023,Jan,Arar,88,10832
OUT,Domestic,2023,Jan,Bisha,79,9318
OUT,Domestic,2023,Jan,Dammam,411,52123
OUT,Domestic,2023,Jan,Al-Bahah,58,5864
OUT,Domestic,2023,Jan,Qassim,59,5639
OUT,Domestic,2023,Jan,Jizan,382,49812
OUT,Domestic,2023,Jan,Qurayyat,44,4305
OUT,Domestic,2023,Jan,Hafr Al-batin,61,7786
OUT,Domestic,2023,Jan,Hail,155,19424
OUT,Domestic,2023,Jan,Jeddah,1456,256772
OUT,Domestic,2023,Jan,Madinah,341,48901
OUT,Domestic,2023,Jan,Najran,155,21280
OUT,Domestic,2023,Jan,NEOM,13,2045
OUT,Domestic,2023,Jan,Rafha,28,3763
OUT,Domestic,2023,Jan,Sharurah,53,5737
OUT,Domestic,2023,Jan,Tabuk,248,35109
OUT,Domestic,2023,Jan,Taif,210,25890
OUT,Domestic,2023,Jan,Turaif,26,3347
OUT,Domestic,2023,Jan,WADI AL-DAWASER,31,3763
OUT,Domestic,2023,Jan,Al Wajh,9,1036
OUT,Domestic,2023,Jan,Yenbo,31,4077
IN,Domestic,2023,Feb,Riyadh,4124,606433
OUT,Domestic,2023,Feb,Abha,460,66410
OUT,Domestic,2023,Feb,Al-Jawf,121,15138
OUT,Domestic,2023,Feb,Al-Ula,37,4755
OUT,Domestic,2023,Feb,Arar,80,10424
OUT,Domestic,2023,Feb,Bisha,68,8400
OUT,Domestic,2023,Feb,Dammam,361,46426
OUT,Domestic,2023,Feb,Al-Bahah,31,4358
OUT,Domestic,2023,Feb,Qassim,51,4959
OUT,Domestic,2023,Feb,Jizan,361,42763
OUT,Domestic,2023,Feb,Qurayyat,32,3997
OUT,Domestic,2023,Feb,Hafr Al-batin,56,7255
OUT,Domestic,2023,Feb,Hail,140,17213
OUT,Domestic,2023,Feb,Jeddah,1327,233779
OUT,Domestic,2023,Feb,Madinah,309,45507
OUT,Domestic,2023,Feb,Najran,133,18045
OUT,Domestic,2023,Feb,NEOM,12,1843
OUT,Domestic,2023,Feb,Rafha,24,3383
OUT,Domestic,2023,Feb,Sharurah,48,4988
OUT,Domestic,2023,Feb,Tabuk,224,29556
OUT,Domestic,2023,Feb,Taif,184,23101
OUT,Domestic,2023,Feb,Turaif,24,3168
OUT,Domestic,2023,Feb,WADI AL-DAWASER,28,3671
OUT,Domestic,2023,Feb,Al Wajh,8,845
OUT,Domestic,2023,Feb,Yenbo,28,3899
IN,Domestic,2023,Mar,Riyadh,4571,668715
OUT,Domestic,2023,Mar,Abha,510,77657
OUT,Domestic,2023,Mar,Al-Jawf,133,17607
OUT,Domestic,2023,Mar,Al-Ula,38,4263
OUT,Domestic,2023,Mar,Arar,88,11283
OUT,Domestic,2023,Mar,Bisha,76,10082
OUT,Domestic,2023,Mar,Dammam,368,50158
OUT,Domestic,2023,Mar,Al-Bahah,34,4647
OUT,Domestic,2023,Mar,Qassim,60,5955
OUT,Domestic,2023,Mar,Jizan,367,49675
OUT,Domestic,2023,Mar,Qurayyat,46,5601
OUT,Domestic,2023,Mar,Hafr Al-batin,62,7981
OUT,Domestic,2023,Mar,Hail,154,18712
OUT,Domestic,2023,Mar,Jeddah,1519,295915
OUT,Domestic,2023,Mar,Madinah,343,52033
OUT,Domestic,2023,Mar,Najran,144,20262
OUT,Domestic,2023,Mar,NEOM,14,2177
OUT,Domestic,2023,Mar,Rafha,26,3445
OUT,Domestic,2023,Mar,Sharurah,49,5971
OUT,Domestic,2023,Mar,Tabuk,240,33715
OUT,Domestic,2023,Mar,Taif,227,31157
OUT,Domestic,2023,Mar,Turaif,27,3243
OUT,Domestic,2023,Mar,WADI AL-DAWASER,31,3943
OUT,Domestic,2023,Mar,Al Wajh,9,1019
OUT,Domestic,2023,Mar,Yenbo,31,4287
IN,Domestic,2023,Apr,Riyadh,4371,603078
OUT,Domestic,2023,Apr,Abha,418,56815
OUT,Domestic,2023,Apr,Al-Jawf,121,11777
OUT,Domestic,2023,Apr,Al-Ula,27,2885
OUT,Domestic,2023,Apr,Arar,84,8223
OUT,Domestic,2023,Apr,Bisha,67,8313
OUT,Domestic,2023,Apr,Dammam,304,33709
OUT,Domestic,2023,Apr,Al-Bahah,30,4201
OUT,Domestic,2023,Apr,Qassim,55,4524
OUT,Domestic,2023,Apr,Jizan,318,38145
OUT,Domestic,2023,Apr,Qurayyat,30,3784
OUT,Domestic,2023,Apr,Hafr Al-batin,59,6927
OUT,Domestic,2023,Apr,Hail,148,13577
OUT,Domestic,2023,Apr,Jeddah,1611,264247
OUT,Domestic,2023,Apr,Madinah,351,49133
OUT,Domestic,2023,Apr,Najran,126,14823
OUT,Domestic,2023,Apr,NEOM,17,1362
OUT,Domestic,2023,Apr,Rafha,26,2683
OUT,Domestic,2023,Apr,Riyadh,3,186
OUT,Domestic,2023,Apr,Sharurah,45,4743
OUT,Domestic,2023,Apr,Tabuk,219,26059
OUT,Domestic,2023,Apr,Taif,234,29185
OUT,Domestic,2023,Apr,Turaif,26,2410
OUT,Domestic,2023,Apr,WADI AL-DAWASER,30,3240
OUT,Domestic,2023,Apr,Al Wajh,9,1006
OUT,Domestic,2023,Apr,Yenbo,30,3677
IN,Domestic,2023,May,Riyadh,4592,640658
OUT,Domestic,2023,May,Abha,531,65583
OUT,Domestic,2023,May,Al-Jawf,138,15605
OUT,Domestic,2023,May,Al-Ula,25,2969
OUT,Domestic,2023,May,Arar,89,10996
OUT,Domestic,2023,May,Bisha,80,9539
OUT,Domestic,2023,May,Dammam,372,47976
OUT,Domestic,2023,May,Al-Bahah,39,5321
OUT,Domestic,2023,May,Qassim,63,5549
OUT,Domestic,2023,May,Jizan,387,39744
OUT,Domestic,2023,May,Qurayyat,31,4596
OUT,Domestic,2023,May,Hafr Al-batin,61,8258
OUT,Domestic,2023,May,Hail,155,17341
OUT,Domestic,2023,May,Jeddah,1479,216085
OUT,Domestic,2023,May,Madinah,329,39873
OUT,Domestic,2023,May,Najran,152,20536
OUT,Domestic,2023,May,NEOM,18,2125
OUT,Domestic,2023,May,Rafha,28,3339
OUT,Domestic,2023,May,Sharurah,53,5804
OUT,Domestic,2023,May,Tabuk,248,32376
OUT,Domestic,2023,May,Taif,194,21783
OUT,Domestic,2023,May,Turaif,26,3288
OUT,Domestic,2023,May,WADI AL-DAWASER,32,3757
OUT,Domestic,2023,May,Al Wajh,8,865
OUT,Domestic,2023,May,Yenbo,31,4184
IN,Domestic,2023,Jun,Riyadh,4557,528585
OUT,Domestic,2023,Jun,Abha,499,86316
OUT,Domestic,2023,Jun,Al-Jawf,126,16469
OUT,Domestic,2023,Jun,Al-Ula,26,3103
OUT,Domestic,2023,Jun,Arar,85,10704
OUT,Domestic,2023,Jun,Bisha,77,11407
OUT,Domestic,2023,Jun,Dammam,344,42898
OUT,Domestic,2023,Jun,Al-Bahah,60,8709
OUT,Domestic,2023,Jun,Qassim,59,6157
OUT,Domestic,2023,Jun,Jizan,368,51624
OUT,Domestic,2023,Jun,Qurayyat,30,4516
OUT,Domestic,2023,Jun,Hafr Al-batin,60,7718
OUT,Domestic,2023,Jun,Hail,141,17134
OUT,Domestic,2023,Jun,Jeddah,1536,278654
OUT,Domestic,2023,Jun,Madinah,321,50486
OUT,Domestic,2023,Jun,Najran,146,21957
OUT,Domestic,2023,Jun,NEOM,17,1573
OUT,Domestic,2023,Jun,Rafha,25,3214
OUT,Domestic,2023,Jun,Sharurah,52,6615
OUT,Domestic,2023,Jun,Tabuk,238,33034
OUT,Domestic,2023,Jun,Taif,192,28159
OUT,Domestic,2023,Jun,Turaif,26,3524
OUT,Domestic,2023,Jun,WADI AL-DAWASER,30,3894
OUT,Domestic,2023,Jun,Al Wajh,9,1107
OUT,Domestic,2023,Jun,Yenbo,30,4170
IN,Domestic,2023,Jul,Riyadh,4388,744120
OUT,Domestic,2023,Jul,Abha,516,97663
OUT,Domestic,2023,Jul,Al-Jawf,136,15928
OUT,Domestic,2023,Jul,Al-Ula,27,2963
OUT,Domestic,2023,Jul,Arar,89,11020
OUT,Domestic,2023,Jul,Bisha,80,10938
OUT,Domestic,2023,Jul,Dammam,356,47729
OUT,Domestic,2023,Jul,Al-Bahah,62,9435
OUT,Domestic,2023,Jul,Qassim,54,4945
OUT,Domestic,2023,Jul,Jizan,357,47897
OUT,Domestic,2023,Jul,Qurayyat,31,4499
OUT,Domestic,2023,Jul,Hafr Al-batin,62,7938
OUT,Domestic,2023,Jul,Hail,146,16128
OUT,Domestic,2023,Jul,Jeddah,1523,231480
OUT,Domestic,2023,Jul,Madinah,328,38775
OUT,Domestic,2023,Jul,Najran,143,20438
OUT,Domestic,2023,Jul,NEOM,17,2072
OUT,Domestic,2023,Jul,Rafha,27,3180
OUT,Domestic,2023,Jul,Sharurah,53,5973
OUT,Domestic,2023,Jul,Tabuk,220,31285
OUT,Domestic,2023,Jul,Taif,216,31907
OUT,Domestic,2023,Jul,Turaif,26,3251
OUT,Domestic,2023,Jul,WADI AL-DAWASER,31,3465
OUT,Domestic,2023,Jul,Al Wajh,9,1071
OUT,Domestic,2023,Jul,Yenbo,31,3837
IN,Domestic,2023,Aug,Riyadh,4479,776531
OUT,Domestic,2023,Aug,Abha,553,76832
OUT,Domestic,2023,Aug,Al-Jawf,140,19245
OUT,Domestic,2023,Aug,Al-Ula,26,2861
OUT,Domestic,2023,Aug,Arar,88,12296
OUT,Domestic,2023,Aug,Bisha,80,8871
OUT,Domestic,2023,Aug,Dammam,353,52170
OUT,Domestic,2023,Aug,Al-Bahah,67,7392
OUT,Domestic,2023,Aug,Qassim,59,6931
OUT,Domestic,2023,Aug,Jizan,361,47176
OUT,Domestic,2023,Aug,Qurayyat,31,4327
OUT,Domestic,2023,Aug,Hafr Al-batin,62,8891
OUT,Domestic,2023,Aug,Hail,147,18142
OUT,Domestic,2023,Aug,Jeddah,1425,255588
OUT,Domestic,2023,Aug,Madinah,314,45207
OUT,Domestic,2023,Aug,Najran,145,20717
OUT,Domestic,2023,Aug,NEOM,18,2397
OUT,Domestic,2023,Aug,Rafha,27,3976
OUT,Domestic,2023,Aug,Sharurah,52,6044
OUT,Domestic,2023,Aug,Tabuk,227,34631
OUT,Domestic,2023,Aug,Taif,214,28110
OUT,Domestic,2023,Aug,Turaif,27,3343
OUT,Domestic,2023,Aug,WADI AL-DAWASER,27,3399
OUT,Domestic,2023,Aug,Al Wajh,9,1002
OUT,Domestic,2023,Aug,Yenbo,31,4321
IN,Domestic,2023,Sep,Riyadh,4348,667708
OUT,Domestic,2023,Sep,Abha,435,67456
OUT,Domestic,2023,Sep,Al-Jawf,105,14770
OUT,Domestic,2023,Sep,Al-Ula,39,4670
OUT,Domestic,2023,Sep,Arar,84,10928
OUT,Domestic,2023,Sep,Bisha,76,9047
OUT,Domestic,2023,Sep,Dammam,341,45990
OUT,Domestic,2023,Sep,Al-Bahah,69,7021
OUT,Domestic,2023,Sep,Qassim,52,5626
OUT,Domestic,2023,Sep,Jizan,339,41501
OUT,Domestic,2023,Sep,Qurayyat,30,4383
OUT,Domestic,2023,Sep,Hafr Al-batin,60,8279
OUT,Domestic,2023,Sep,Hail,148,17760
OUT,Domestic,2023,Sep,Jeddah,1450,240099
OUT,Domestic,2023,Sep,Madinah,328,45083
OUT,Domestic,2023,Sep,Najran,150,21916
OUT,Domestic,2023,Sep,NEOM,16,2406
OUT,Domestic,2023,Sep,Rafha,25,3342
OUT,Domestic,2023,Sep,Red Sea,4,115
OUT,Domestic,2023,Sep,Sharurah,51,5608
OUT,Domestic,2023,Sep,Tabuk,246,34532
OUT,Domestic,2023,Sep,Taif,197,25546
OUT,Domestic,2023,Sep,Turaif,26,3109
OUT,Domestic,2023,Sep,WADI AL-DAWASER,29,3725
OUT,Domestic,2023,Sep,Al Wajh,8,891
OUT,Domestic,2023,Sep,Yenbo,31,4104
IN,Domestic,2023,Oct,Riyadh,4668,710465
OUT,Domestic,2023,Oct,Abha,478,72014
OUT,Domestic,2023,Oct,Al-Jawf,117,16588
OUT,Domestic,2023,Oct,Al-Ula,32,4886
OUT,Domestic,2023,Oct,Arar,90,12359
OUT,Domestic,2023,Oct,Bisha,79,9893
OUT,Domestic,2023,Oct,Dammam,399,52442
OUT,Domestic,2023,Oct,Al-Bahah,70,7686
OUT,Domestic,2023,Oct,Qassim,51,6370
OUT,Domestic,2023,Oct,Jizan,373,47261
OUT,Domestic,2023,Oct,Qurayyat,31,4564
OUT,Domestic,2023,Oct,Hafr Al-batin,62,8526
OUT,Domestic,2023,Oct,Hail,155,19415
OUT,Domestic,2023,Oct,Jeddah,1547,262613
OUT,Domestic,2023,Oct,Madinah,353,53776
OUT,Domestic,2023,Oct,Najran,155,23305
OUT,Domestic,2023,Oct,NEOM,19,2443
OUT,Domestic,2023,Oct,Rafha,27,3654
OUT,Domestic,2023,Oct,Red Sea,10,727
OUT,Domestic,2023,Oct,Sharurah,49,5831
OUT,Domestic,2023,Oct,Tabuk,271,37860
OUT,Domestic,2023,Oct,Taif,205,26332
OUT,Domestic,2023,Oct,Turaif,26,3495
OUT,Domestic,2023,Oct,WADI AL-DAWASER,31,3995
OUT,Domestic,2023,Oct,Al Wajh,8,899
OUT,Domestic,2023,Oct,Yenbo,31,4353
IN,Domestic,2023,Nov,Riyadh,4844,773718
OUT,Domestic,2023,Nov,Abha,484,79318
OUT,Domestic,2023,Nov,Al-Jawf,90,13844
OUT,Domestic,2023,Nov,Al-Ula,34,5261
OUT,Domestic,2023,Nov,Arar,86,12432
OUT,Domestic,2023,Nov,Bisha,79,11150
OUT,Domestic,2023,Nov,Dammam,422,57797
OUT,Domestic,2023,Nov,Al-Bahah,60,7847
OUT,Domestic,2023,Nov,Qassim,46,5454
OUT,Domestic,2023,Nov,Jizan,388,53770
OUT,Domestic,2023,Nov,Qurayyat,30,4545
OUT,Domestic,2023,Nov,Hafr Al-batin,59,8169
OUT,Domestic,2023,Nov,Hail,181,23153
OUT,Domestic,2023,Nov,Jeddah,1615,293302
OUT,Domestic,2023,Nov,Madinah,387,58632
OUT,Domestic,2023,Nov,Najran,180,24846
OUT,Domestic,2023,Nov,NEOM,26,3347
OUT,Domestic,2023,Nov,Rafha,27,3662
OUT,Domestic,2023,Nov,Red Sea,13,1438
OUT,Domestic,2023,Nov,Sharurah,51,6283
OUT,Domestic,2023,Nov,Tabuk,257,37802
OUT,Domestic,2023,Nov,Taif,240,32773
OUT,Domestic,2023,Nov,Turaif,26,3710
OUT,Domestic,2023,Nov,WADI AL-DAWASER,30,4108
OUT,Domestic,2023,Nov,Yenbo,30,4479
IN,Domestic,2023,Dec,Riyadh,5052,773613
OUT,Domestic,2023,Dec,Abha,539,80282
OUT,Domestic,2023,Dec,Al-Jawf,89,13256
OUT,Domestic,2023,Dec,Al-Ula,37,6120
OUT,Domestic,2023,Dec,Arar,85,12082
OUT,Domestic,2023,Dec,Bisha,78,10227
OUT,Domestic,2023,Dec,Dammam,465,56589
OUT,Domestic,2023,Dec,Al-Bahah,62,7429
OUT,Domestic,2023,Dec,Qassim,39,4300
OUT,Domestic,2023,Dec,Jizan,386,55173
OUT,Domestic,2023,Dec,Qurayyat,40,5589
OUT,Domestic,2023,Dec,Hafr Al-batin,62,8370
OUT,Domestic,2023,Dec,Hail,187,21694
OUT,Domestic,2023,Dec,Jeddah,1726,310300
OUT,Domestic,2023,Dec,Madinah,409,62268
OUT,Domestic,2023,Dec,Najran,168,24004
OUT,Domestic,2023,Dec,NEOM,26,3068
OUT,Domestic,2023,Dec,Rafha,26,3609
OUT,Domestic,2023,Dec,Red Sea,14,1473
OUT,Domestic,2023,Dec,Sharurah,53,6808
OUT,Domestic,2023,Dec,Tabuk,263,37239
OUT,Domestic,2023,Dec,Taif,217,28787
OUT,Domestic,2023,Dec,Turaif,27,3583
OUT,Domestic,2023,Dec,WADI AL-DAWASER,31,4131
OUT,Domestic,2023,Dec,Yenbo,31,4609
IN,Domestic,2024,Jan,Riyadh,5378,824172
OUT,Domestic,2024,Jan,Abha,523,83683
OUT,Domestic,2024,Jan,Al-Jawf,91,13444
OUT,Domestic,2024,Jan,Al-Ula,40,7088
OUT,Domestic,2024,Jan,Arar,88,12204
OUT,Domestic,2024,Jan,Bisha,80,11227
OUT,Domestic,2024,Jan,Dammam,530,66119
OUT,Domestic,2024,Jan,Dawadmi,8,655
OUT,Domestic,2024,Jan,Al-Bahah,62,7907
OUT,Domestic,2024,Jan,Hafr Al-batin,62,8339
OUT,Domestic,2024,Jan,Hail,186,21989
OUT,Domestic,2024,Jan,Jeddah,1793,309929
OUT,Domestic,2024,Jan,Jizan,394,56769
OUT,Domestic,2024,Jan,Madinah,427,63529
OUT,Domestic,2024,Jan,Najran,217,28003
OUT,Domestic,2024,Jan,NEOM,27,3685
OUT,Domestic,2024,Jan,Qassim,62,6234
OUT,Domestic,2024,Jan,Qurayyat,62,7983
OUT,Domestic,2024,Jan,Rafha,27,3595
OUT,Domestic,2024,Jan,Red Sea,14,1677
OUT,Domestic,2024,Jan,Sharurah,53,6787
OUT,Domestic,2024,Jan,Tabuk,277,41020
OUT,Domestic,2024,Jan,Taif,239,32412
OUT,Domestic,2024,Jan,Turaif,26,3086
OUT,Domestic,2024,Jan,WADI AL-DAWASER,31,4026
OUT,Domestic,2024,Jan,Yenbo,54,6227
IN,Domestic,2024,Feb,Riyadh,5197,752532
OUT,Domestic,2024,Feb,Abha,471,71894
OUT,Domestic,2024,Feb,Al-Jawf,87,12615
OUT,Domestic,2024,Feb,Al-Ula,38,6097
OUT,Domestic,2024,Feb,Arar,100,12129
OUT,Domestic,2024,Feb,Bisha,76,9526
OUT,Domestic,2024,Feb,Dammam,546,63143
OUT,Domestic,2024,Feb,Dawadmi,9,629
OUT,Domestic,2024,Feb,Al-Bahah,58,6845
OUT,Domestic,2024,Feb,Hafr Al-batin,58,7830
OUT,Domestic,2024,Feb,Hail,174,20491
OUT,Domestic,2024,Feb,Jeddah,1754,295270
OUT,Domestic,2024,Feb,Jizan,378,50720
OUT,Domestic,2024,Feb,Madinah,392,60789
OUT,Domestic,2024,Feb,Najran,203,25647
OUT,Domestic,2024,Feb,NEOM,29,3604
OUT,Domestic,2024,Feb,Qassim,58,5863
OUT,Domestic,2024,Feb,Qurayyat,58,7463
OUT,Domestic,2024,Feb,Rafha,25,3350
OUT,Domestic,2024,Feb,Red Sea,13,1589
OUT,Domestic,2024,Feb,Sharurah,50,5866
OUT,Domestic,2024,Feb,Tabuk,279,38156
OUT,Domestic,2024,Feb,Taif,233,28855
OUT,Domestic,2024,Feb,Turaif,25,2861
OUT,Domestic,2024,Feb,WADI AL-DAWASER,29,3710
OUT,Domestic,2024,Feb,Yenbo,55,5958
IN,Domestic,2024,Mar,Riyadh,5163,703682
OUT,Domestic,2024,Mar,Abha,445,67347
OUT,Domestic,2024,Mar,Al-Jawf,76,10818
OUT,Domestic,2024,Mar,Al-Ula,31,3680
OUT,Domestic,2024,Mar,Arar,75,10438
OUT,Domestic,2024,Mar,Bisha,70,9104
OUT,Domestic,2024,Mar,Dammam,407,52318
OUT,Domestic,2024,Mar,Dawadmi,9,677
OUT,Domestic,2024,Mar,Al-Bahah,58,7038
OUT,Domestic,2024,Mar,Hafr Al-batin,60,7244
OUT,Domestic,2024,Mar,Hail,164,18197
OUT,Domestic,2024,Mar,Jeddah,1995,382576
OUT,Domestic,2024,Mar,Jizan,330,47734
OUT,Domestic,2024,Mar,Madinah,454,64590
OUT,Domestic,2024,Mar,Najran,183,23202
OUT,Domestic,2024,Mar,NEOM,31,3861
OUT,Domestic,2024,Mar,Qassim,62,5179
OUT,Domestic,2024,Mar,Qurayyat,42,5905
OUT,Domestic,2024,Mar,Rafha,24,2955
OUT,Domestic,2024,Mar,Red Sea,14,1565
OUT,Domestic,2024,Mar,Sharurah,53,6202
OUT,Domestic,2024,Mar,Tabuk,244,33936
OUT,Domestic,2024,Mar,Taif,230,33107
OUT,Domestic,2024,Mar,Turaif,24,2954
OUT,Domestic,2024,Mar,WADI AL-DAWASER,29,3370
OUT,Domestic,2024,Mar,Yenbo,61,6095
IN,Domestic,2024,Apr,Riyadh,5167,773555
OUT,Domestic,2024,Apr,Abha,535,73371
OUT,Domestic,2024,Apr,Al-Jawf,79,10070
OUT,Domestic,2024,Apr,Al-Ula,33,4513
OUT,Domestic,2024,Apr,Arar,76,9615
OUT,Domestic,2024,Apr,Bisha,78,8800
OUT,Domestic,2024,Apr,Dammam,496,54848
OUT,Domestic,2024,Apr,Dawadmi,8,635
OUT,Domestic,2024,Apr,Al-Bahah,57,6805
OUT,Domestic,2024,Apr,Hafr Al-batin,56,7215
OUT,Domestic,2024,Apr,Hail,149,17003
OUT,Domestic,2024,Apr,Jeddah,1761,261739
OUT,Domestic,2024,Apr,Jizan,366,43449
OUT,Domestic,2024,Apr,Madinah,449,53028
OUT,Domestic,2024,Apr,Najran,178,22585
OUT,Domestic,2024,Apr,NEOM,30,3027
OUT,Domestic,2024,Apr,Qassim,60,5876
OUT,Domestic,2024,Apr,Qurayyat,58,6773
OUT,Domestic,2024,Apr,Rafha,25,2790
OUT,Domestic,2024,Apr,Red Sea,16,1717
OUT,Domestic,2024,Apr,Sharurah,51,6148
OUT,Domestic,2024,Apr,Tabuk,254,32445
OUT,Domestic,2024,Apr,Taif,239,26592
OUT,Domestic,2024,Apr,Turaif,24,2573
OUT,Domestic,2024,Apr,WADI AL-DAWASER,29,3378
OUT,Domestic,2024,Apr,Yenbo,52,5137
IN,Domestic,2024,May,Riyadh,5452,772488
OUT,Domestic,2024,May,Abha,591,86965
OUT,Domestic,2024,May,Al-Jawf,94,13820
OUT,Domestic,2024,May,Al-Ula,31,4292
OUT,Domestic,2024,May,Arar,89,13252
OUT,Domestic,2024,May,Bisha,77,10251
OUT,Domestic,2024,May,Dammam,564,69514
OUT,Domestic,2024,May,Dawadmi,9,517
OUT,Domestic,2024,May,Al-Bahah,71,9172
OUT,Domestic,2024,May,Hafr Al-batin,62,8676
OUT,Domestic,2024,May,Hail,155,19624
OUT,Domestic,2024,May,Jeddah,1751,312053
OUT,Domestic,2024,May,Jizan,390,52655
OUT,Domestic,2024,May,Madinah,453,67970
OUT,Domestic,2024,May,Najran,183,26672
OUT,Domestic,2024,May,NEOM,30,3931
OUT,Domestic,2024,May,Qassim,64,6332
OUT,Domestic,2024,May,Qurayyat,62,8863
OUT,Domestic,2024,May,Rafha,26,3710
OUT,Domestic,2024,May,Red Sea,17,2339
OUT,Domestic,2024,May,Sharurah,53,6940
OUT,Domestic,2024,May,Tabuk,279,39922
OUT,Domestic,2024,May,Taif,238,31108
OUT,Domestic,2024,May,Turaif,27,3617
OUT,Domestic,2024,May,WADI AL-DAWASER,31,4245
OUT,Domestic,2024,May,Yenbo,53,6530
IN,Domestic,2024,Jun,Riyadh,5446,698310
OUT,Domestic,2024,Jun,Abha,659,99763
OUT,Domestic,2024,Jun,Al-Jawf,101,12878
OUT,Domestic,2024,Jun,Al-Ula,27,3245
OUT,Domestic,2024,Jun,Arar,102,12078
OUT,Domestic,2024,Jun,Bisha,77,11334
OUT,Domestic,2024,Jun,Dammam,514,57022
OUT,Domestic,2024,Jun,Dawadmi,9,797
OUT,Domestic,2024,Jun,Al-Bahah,107,15503
OUT,Domestic,2024,Jun,Hafr Al-batin,60,7795
